OGLE-2005-071L b,Confirmed,3.5,0.3,0.3,,,,,,,3600,0,0,3.6,0.2,0.2,,,,,,,0.001091,2005,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2005-071L,267.5375,-34.6730556,,19.5,,,,3300,400,400,,,,0.46,0.04,0.04,,,,,,,,,,,,,
OGLE-2005-169L b,Confirmed,0.0444,0.003,0.003,,,,,,,,,,4,0.6,2.2,,,,,,,0.001037,2005,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,Microlensing,,,,OGLE-2005-169L,271.5208333,-30.7325,,20.4,,,,4100,400,400,,,,0.69,0.02,0.02,,,,K5,,,,,,,,,
OGLE-2005-390L b,Confirmed,0.017,,,,,,,,,3500,,,2.1,,,,,,,,,0.000323,2005,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2005-390L,268.5791667,-30.3772222,,15.7,,,,6500,,,,,,0.22,,,,,,M,,,,,,,,,
OGLE-2006-109L b,Confirmed,0.727,0.06,0.06,,,,,,,1790,548,548,2.3,0.5,0.5,,,,64,7,7,0.001523,2008,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2006-109L,268.1458333,-30.0877778,,,,17.17,,1510,120,120,,,,0.51,0.04,0.04,,,,,,,,,,,,,
OGLE-2006-109L c,Confirmed,0.271,0.022,0.022,,,,,,,4931,1750,1750,4.5,1,1,0.15,0.1,0.1,64,8,8,0.00298,2008,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2006-109L,268.1458333,-30.0877778,,,,17.17,,1510,120,120,,,,0.51,0.04,0.04,,,,,,,,,,,,,
OGLE-2007-BLG-349(AB) b,Confirmed,0.25,0.041,0.041,,,,,,,,,,2.59,0.34,0.43,,,,,,,,2016,22/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2007-BLG-349(AB),271.35,-26.42194446,,,,,,2760,380,380,,,,0.71,0.12,0.12,,,,,,,,,,,,,
OGLE-2007-BLG-368L b,Confirmed,0.0694,,,,,,,,,,,,3.3,8.8,8.8,,,,,,,0.000559,2008,08/12/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2007-BLG-368L,269.1083333,-32.2375,,,,,,5900,1400,1400,,,,0.64,0.26,0.26,,,,,,,,,,,,,
OGLE-2008-BLG-092L b,Confirmed,0.18,,,,,,,,,,,,15,,,,,,,,,,2014,12/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2008-BLG-092L,266.8725833,-34.72655558,,13.9,,,,7000,,,,,,0.71,,,,,,,,,,,,,,,
OGLE-2009-BLG-151L b,Confirmed,7.5,0.3,0.3,,,,,,,,,,0.31,0.01,0.01,,,,,,,,2013,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,MOA-2009-232 b,,OGLE-2009-BLG-151L,268.5917,-29.0558,15.84,,,,,390,10,10,,,,0.018,0.001,0.001,,,,,,,,,,,,,MOA-2009-232
OGLE-2011-BLG-0251L b,Confirmed,0.96,0.14,0.14,,,,,,,,,,3.86,0.64,0.64,,,,,,,,2012,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2011-BLG-0251L,264.5590833,-27.13613889,,,,,,4090,660,660,,,,0.47,0.07,0.07,,,,,,,,,,,,,
