GU Psc b,Confirmed,11,1,1,,,,1.35,0.03,0.03,,,,2000,200,200,,,,,,,,2014,31/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.14583335,17.06555557,13.55,,,,,48,5,5,,,,0.35,,,,,,M3,0.1,0.03,0.03,,,,,,
HD 106906 b,Confirmed,11,2,2,,,,,,,,,,654,3,3,,,,,,,,2013,05/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 106906,184.4708334,-54.02444442,7.8,,,,,92,6,6,,,,1.5,0.1,0.1,,,,F5V,0.013,0.002,0.002,6516,165,165,Imaging,,
HD 1160 b,Confirmed,79,40,65,,,,,,,,,,80,0,0,,,,,,,0.772947,2012,22/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4,4,-0.3,,,,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 169142 b,Confirmed,30,2,2,,,,,,,,,,22.7,4.7,4.7,,,,,,,,2014,22/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD169142,276.1241042,-29.78050808,8.16,,7.31,,,117,,,,,,1.65,,,1.6,,,A7V,12,,,7650,150,150,Imaging,,
HD 19467 b,Confirmed,52,4.3,4.3,,,,,,,,,,51.1,1,1,,,,,,,,2016,08/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.82916667,-13.76166669,7,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680,40,40,,,
HD 203030 b,Confirmed,11,4,4,,,,,,,,,,487,,,,,,,,,,2017,02/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 203030,319.7416667,26.2305556,8.43,,,,,41,1.2,1.2,,,,0.97,,,,,,G8V,0.25,0.07,0.07,,,,,,
HD 206893 b,Confirmed,22.5,8,8,,,,,,,,,,10,,,,,,,,,,2016,05/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 206893,326.3416667,-12.78333335,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1,1,6486,,,,,
HD 284149 b,Confirmed,32,18,14,,,,,,,,,,400,,,,,,,,,,2014,31/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537,,,,,,Published in a refereed paper,Imaging,,,,,HD 284149,61.66250001,20.30305556,9.63,,,,,108.2,18.5,18.5,,,,1.14,0.05,0.05,,,,F8,0.025,0.025,0.01,6040,60,60,,,
HD 95086 b,Confirmed,4.4,0.8,0.8,,,,,,,,,,61.7,8.4,20.7,0.2,0.2,0,153,13.5,9.7,,2013,22/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,3.85,Published in a refereed paper,Imaging,Spectrum,,,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,3.3,3.3,,,,1.6,,,,,,A8III,0.017,0.004,0.004,7550,100,100,Imaging,,
HD 984 b,Confirmed,65,40,40,,,,,,,,,,18,4,10,,,,,,,,2017,09/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 984,3.54166667,-7.199166683,7.3,,,,,47.1,1.4,1.4,,,,1.2,,,,,,F7V,0.08,0.05,0.12,6315,89,89,,,
HII 1348 b,Confirmed,59,6,6,,,,,,,,,,138,7,7,,,,,,,,2012,16/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HII 1348,56.82500001,24.39083335,12.8,,,,,127,7,7,,,,,,,,,,K5V,,,,,,,,,
HIP 64892 b,Confirmed,33,4,4,,,,,,,,,,159,12,12,,,,,,,,2018,29/06/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 64892,199.5208333,-44.05527778,6.8,,,,,125,,,,,,2.35,,,1.79,,,B9.5V,0.016,,,10400,,,,,
HIP 65426 b,Confirmed,9,3,3,,,,1.5,0.1,0.1,,,,92,,,,,,,,,,2017,22/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,150,150,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 65426,201.15,-51.50444446,7.01,,,,,11.1,0.3,0.3,,,,1.96,0.04,0.04,1.77,0.05,0.05,A2V,0.014,0.004,0.004,8840,200,200,,,"HD 116434, 2MASS J13243609-5130159 "
HIP 73990 b,Confirmed,21,5,30,,,,,,,,,,20,4,4,,,,,,,,2015,28/02/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 73990,226.8125,-29.50444446,8.12,,,,,125,15,15,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450,80,80,,,HD 133803
HIP 73990 c,Confirmed,22,6,35,,,,,,,,,,32,7,7,,,,,,,,2015,20/05/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 73990,226.8125,-29.50444446,8.12,,,,,125,15,15,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450,80,80,,,HD 133803
HIP 74865 b,Confirmed,28,10,37,,,,,,,,,,23,6,6,,,,,,,,2015,20/05/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 74865,229.4833334,-30.47805557,9,,,,,115,15,15,,,,1.42,0.05,0.05,,,,F3V,0.015,0.005,0.005,6640,10,10,,,HD 135778
