CoRoT-23 b,Confirmed,2.8,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8.00E-05,2011,26/01/2014,51.8,9,9,,,,,,,2455308.937,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600,50,50,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,G0V,7.2,1,1,5900,100,100,,,
CoRoT-24 b,Confirmed,0.018,inf,nan,,,,0.33,0.04,0.04,5.1134,0.0006,0.0006,0.056,0.002,0.002,0,,,86.5,2,2,9.30E-05,2011,08/07/2014,,,,,,,,,,2454789.611,0.006,0.006,,,,,,,,,,,,,,,,1070,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,CoRoT-24,101.925,-3.719444461,,14.3,,,,600,70,70,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11,,,4950,150,150,,,
CoRoT-24 c,Confirmed,0.088,0.035,0.035,,,,0.44,0.04,0.04,11.759,0.0063,0.0063,0.098,0.003,0.003,0,,,89,1,1.6,0.000163,2011,08/07/2014,,,,,,,,,,2454795.38,0.0265,0.0265,,,,,,,,,,,,,,,,850,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,CoRoT-24,101.925,-3.719444461,,14.3,,,,600,70,70,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11,,,4950,150,150,,,
CoRoT-25 b,Confirmed,0.27,0.04,0.04,,,,1.08,0.1,0.3,4.86069,6.00E-05,6.00E-05,0.0578,0.0029,0.0029,,,,84.5,0.8,0.3,,2012,21/05/2014,,,,,,,,,,2454577.431,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-25,280.6292,6.5139,15,,,,,1000,85,25,-0.01,0.13,0.13,1.09,0.05,0.11,1.19,0.03,0.14,G0V,5.2,1.3,1.3,6040,90,90,,,
CoRoT-26 b,Confirmed,0.52,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5.00E-05,5.00E-05,0.0526,0.001,0.001,0,,,86.8,1,2.2,,2012,27/05/2014,,,,,,,,,,2454574.681,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670,205,110,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,G8IV,8.6,1.8,0.9,5590,100,100,,,
CoRoT-27 b,Confirmed,10.39,0.55,0.55,,,,1.007,0.044,0.044,3.57532,6.00E-05,6.00E-05,0.0476,0.0066,0.0066,0.065,0.065,0,86.7,0.87,1.2,,2012,10/07/2014,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,G2,4.21,2.72,2.72,5900,120,120,,,
CoRoT-28 b,Confirmed,0.484,0.087,0.087,0.484,0.087,0.087,0.955,0.066,0.066,5.20851,0.00038,0.00038,0.059,0.0027,0.0027,0.047,0.038,0.055,,,,,2012,17/08/2015,126,61,140,,,,,,,2455755.847,0.0029,0.0029,,,,,,,0.24,0.09,0.09,,,,56.4,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-28,278.6875,5.5739,13.49,,,,,560,70,70,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,G8/9IV,12,1.5,1.5,5150,100,100,,,
CoRoT-29 b,Confirmed,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6.00E-06,6.00E-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,,2012,27/04/2015,87,210,49,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125,17,17,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765,50,50,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,KOV,4.5,3.5,3.5,5260,100,100,,,
CoRoT-3 b,Confirmed,21.77,1,1,,,,1.01,0.07,0.07,4.2567994,5.00E-06,5.00E-06,0.057,0.003,0.003,0,,,85.9,0.8,0.8,8.40E-05,2008,08/07/2013,,,,,,,,,,2454283.138,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680,160,160,0.14,0.04,0.04,1.41,0.08,0.08,1.44,0.08,0.08,F3V,2,0.4,0.4,6558,44,44,,,
CoRoT-30 b,Confirmed,2.84,0.22,0.22,,,,1.02,0.08,0.08,9.06005,0.00024,0.00024,0.084,0.001,0.001,0.007,0.007,0.031,90,0.56,0.56,,2017,08/12/2017,178.1,100,100,,,,,,,2455665.515,0.0012,0.0012,,,,,,,,,,,,,283,20,20,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,CoRoT-30,277.6,6.835833352,15.65,,,,,960,40,68,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,G3V,3,2.4,3.7,5660,90,107,,,
CoRoT-31 b,Confirmed,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.02,0.16,83.2,2.3,2.3,,2017,08/12/2017,303.6,108,108,,,,,,,2455843.945,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88,35,35,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.82083334,-4.422222235,15.7,,,,,2190,710,710,0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370,126,99,,,
CoRoT-32 b,Confirmed,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.71837,1.00E-05,1.00E-05,0.071,0.001,0.001,,,,89,0.5,0.5,,2017,13/09/2017,,,,,,,,,,2455901.811,0.002,0.002,,,,,,,,,,,,,,,,938,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.1958333,9.257500011,14,,,,,,,,0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970,100,100,,,CoRoT-223977153
CoRoT-33 b,Confirmed,59.2,1.8,1.8,59,1.8,1.8,1.1,0.53,0.53,5.819143,1.80E-05,1.80E-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015,25/08/2015,179.3,0.87,0.87,,,,,,,2456676.399,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061,9,9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.6416667,5.624722241,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0,5,5225,80,80,,,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694"
CoRoT-4 b,Confirmed,0.72,0.08,0.08,,,,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0,0,0,90,0.085,0.085,,2008,05/06/2013,,,,,,,,,,2454141.364,0.00089,0.00089,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,F8V,1,0.3,0.3,6190,60,60,,,
CoRoT-5 b,Confirmed,0.467,0.024,0.047,,,,1.33,0.047,0.047,4.0378962,1.90E-06,1.90E-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008,22/05/2014,231.7,48,48,,,,,,,2454400.199,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-5,101.2791667,0.8152778,14,,,,,400,0,0,-0.25,0.06,0.06,1,0.02,0.02,1.186,0.04,0.04,F9V,6.9,1.4,1.4,6100,65,65,,,
CoRoT-6 b,Confirmed,2.96,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4.00E-06,4.00E-06,0.0855,0.0015,0.0015,0.1,inf,nan,89.07,0.3,0.3,,2009,05/06/2013,,,,2454595.614,0.0002,0.0002,,,,2454702.256,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,F9V,,,,6090,70,70,,,
